<DATETIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20000616000000,0.9545,0.966,0.9496,0.9648,0.0
20000619000000,0.9636,0.9696,0.9562,0.9569,0.0
20000620000000,0.9568,0.9623,0.9528,0.9545,0.0
20000621000000,0.9542,0.9546,0.943,0.9444,0.0
20000622000000,0.9452,0.9475,0.9344,0.9359,0.0
20000623000000,0.9359,0.9431,0.9339,0.936,0.0
20000626000000,0.9365,0.94,0.9299,0.937,0.0
20000627000000,0.937,0.9471,0.9353,0.946,0.0
20000628000000,0.9455,0.9473,0.94,0.9417,0.0
20000629000000,0.9417,0.9539,0.9414,0.952,0.0
20000630000000,0.9508,0.9603,0.9502,0.9526,0.0
20000703000000,0.9524,0.9547,0.948,0.9504,0.0
20000704000000,0.9506,0.9523,0.9465,0.9509,0.0
20000705000000,0.9516,0.9573,0.9507,0.9531,0.0
20000706000000,0.9531,0.9599,0.9495,0.9507,0.0
20000707000000,0.9508,0.9528,0.946,0.9484,0.0
20000710000000,0.9482,0.9556,0.9474,0.9553,0.0
20000711000000,0.955,0.9567,0.949,0.9524,0.0
20000712000000,0.9519,0.9528,0.9391,0.9423,0.0
20000713000000,0.9414,0.9426,0.9322,0.9372,0.0
20000714000000,0.9368,0.9391,0.9315,0.9383,0.0
20000717000000,0.9382,0.9401,0.9338,0.9366,0.0
20000718000000,0.9366,0.9367,0.9227,0.9243,0.0
20000719000000,0.9249,0.9263,0.919,0.9244,0.0
20000720000000,0.9247,0.9345,0.92,0.933,0.0
20000721000000,0.9331,0.9381,0.9312,0.937,0.0
20000724000000,0.9363,0.9377,0.9309,0.9338,0.0
20000725000000,0.9334,0.9431,0.9316,0.9384,0.0
20000726000000,0.9382,0.945,0.9379,0.9433,0.0
20000727000000,0.9435,0.9444,0.9316,0.9319,0.0
20000728000000,0.9318,0.9338,0.9223,0.9234,0.0
20000731000000,0.9239,0.9297,0.9221,0.9263,0.0
20000801000000,0.9265,0.9294,0.913,0.9142,0.0
20000802000000,0.9145,0.9193,0.9113,0.9133,0.0
20000803000000,0.9138,0.9179,0.8994,0.9068,0.0
20000804000000,0.9064,0.9103,0.9012,0.9081,0.0
20000807000000,0.9073,0.9115,0.9053,0.9076,0.0
20000808000000,0.9074,0.9086,0.8983,0.9021,0.0
20000809000000,0.9022,0.9034,0.8961,0.9014,0.0
20000810000000,0.9012,0.91,0.9003,0.908,0.0
20000811000000,0.9082,0.9146,0.9025,0.9025,0.0
20000814000000,0.9038,0.9068,0.8997,0.9057,0.0
20000815000000,0.906,0.9142,0.9056,0.9127,0.0
20000816000000,0.9128,0.918,0.9063,0.9161,0.0
20000817000000,0.9162,0.9175,0.9114,0.9164,0.0
20000818000000,0.9163,0.9187,0.9057,0.9065,0.0
20000821000000,0.9072,0.9078,0.9007,0.9021,0.0
20000822000000,0.9022,0.9036,0.8942,0.8971,0.0
20000823000000,0.8973,0.902,0.8908,0.9012,0.0
20000824000000,0.9024,0.9057,0.8995,0.9022,0.0
20000825000000,0.9019,0.9074,0.8974,0.9022,0.0
20000828000000,0.9024,0.9045,0.8984,0.9,0.0
20000829000000,0.8996,0.9024,0.8906,0.8924,0.0
20000830000000,0.8923,0.8949,0.8867,0.8945,0.0
20000831000000,0.8949,0.8974,0.8839,0.8888,0.0
20000901000000,0.8887,0.9019,0.8875,0.8998,0.0
20000904000000,0.8998,0.9041,0.8964,0.8978,0.0
20000905000000,0.8979,0.8993,0.885,0.89,0.0
20000906000000,0.89,0.8901,0.8685,0.8699,0.0
20000907000000,0.8718,0.8768,0.8633,0.8721,0.0
20000908000000,0.8722,0.8751,0.8636,0.8662,0.0
20000911000000,0.8643,0.8725,0.8565,0.8581,0.0
20000912000000,0.8586,0.8691,0.855,0.8637,0.0
20000913000000,0.8637,0.8705,0.8582,0.8596,0.0
20000914000000,0.8602,0.8741,0.8568,0.8645,0.0
20000915000000,0.8646,0.8702,0.8528,0.8536,0.0
20000918000000,0.8532,0.8577,0.8512,0.8536,0.0
20000919000000,0.8547,0.8567,0.8477,0.8513,0.0
20000920000000,0.8513,0.852,0.8439,0.8493,0.0
20000921000000,0.8493,0.8618,0.8458,0.8617,0.0
20000922000000,0.8609,0.9025,0.8571,0.8761,0.0
20000925000000,0.8799,0.8832,0.8712,0.8745,0.0
20000926000000,0.8746,0.884,0.8726,0.8828,0.0
20000927000000,0.8831,0.8887,0.8782,0.8833,0.0
20000928000000,0.8834,0.8867,0.8768,0.8794,0.0
20000929000000,0.8793,0.8853,0.8747,0.8839,0.0
20001002000000,0.8843,0.8861,0.8761,0.8774,0.0
20001003000000,0.8775,0.879,0.8727,0.8756,0.0
20001004000000,0.876,0.8781,0.8717,0.8752,0.0
20001005000000,0.8747,0.879,0.8679,0.869,0.0
20001006000000,0.8694,0.8744,0.8662,0.8685,0.0
20001009000000,0.8693,0.8715,0.8662,0.8683,0.0
20001010000000,0.8683,0.8746,0.8659,0.8717,0.0
20001011000000,0.8719,0.8768,0.8655,0.8659,0.0
20001012000000,0.8654,0.8683,0.8613,0.8625,0.0
20001013000000,0.8629,0.8663,0.853,0.8563,0.0
20001016000000,0.8547,0.8558,0.8458,0.85,0.0
20001017000000,0.8503,0.8562,0.8473,0.8542,0.0
20001018000000,0.8542,0.8579,0.8327,0.8392,0.0
20001019000000,0.8387,0.8455,0.838,0.8434,0.0
20001020000000,0.843,0.8482,0.835,0.8421,0.0
20001023000000,0.8415,0.8427,0.8347,0.8356,0.0
