<DATETIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20000225000000,1.6002,1.6007,1.588,1.5949,0.0
20000228000000,1.5928,1.5979,1.5852,1.5958,0.0
20000229000000,1.5959,1.5995,1.577,1.5788,0.0
20000301000000,1.5786,1.5925,1.5748,1.587,0.0
20000302000000,1.5855,1.5874,1.5754,1.5763,0.0
20000303000000,1.576,1.5842,1.575,1.5787,0.0
20000306000000,1.5776,1.5822,1.5708,1.5749,0.0
20000307000000,1.5745,1.5827,1.5688,1.5797,0.0
20000308000000,1.5803,1.5876,1.5738,1.5807,0.0
20000309000000,1.5811,1.5848,1.5775,1.5816,0.0
20000310000000,1.5828,1.5839,1.575,1.5763,0.0
20000313000000,1.5762,1.5833,1.5755,1.5797,0.0
20000314000000,1.5789,1.5798,1.5677,1.5772,0.0
20000315000000,1.5773,1.5795,1.5692,1.573,0.0
20000316000000,1.5735,1.5779,1.5685,1.5767,0.0
20000317000000,1.5752,1.5768,1.5696,1.5743,0.0
20000320000000,1.5755,1.5756,1.5646,1.569,0.0
20000321000000,1.5698,1.5774,1.5652,1.5727,0.0
20000322000000,1.5714,1.5803,1.5611,1.578,0.0
20000323000000,1.5782,1.5901,1.5746,1.5877,0.0
20000324000000,1.5868,1.5938,1.5834,1.5936,0.0
20000327000000,1.5934,1.601,1.5835,1.5879,0.0
20000328000000,1.5874,1.5909,1.582,1.5889,0.0
20000329000000,1.5888,1.5973,1.581,1.5926,0.0
20000330000000,1.5935,1.5977,1.5868,1.596,0.0
20000331000000,1.5948,1.599,1.5892,1.5921,0.0
20000403000000,1.5909,1.5993,1.5866,1.5973,0.0
20000404000000,1.5964,1.6077,1.5921,1.5929,0.0
20000405000000,1.5924,1.5986,1.582,1.5835,0.0
20000406000000,1.5837,1.5894,1.5772,1.5802,0.0
20000407000000,1.5796,1.5861,1.5773,1.5793,0.0
20000410000000,1.5795,1.5859,1.5784,1.5855,0.0
20000411000000,1.5847,1.5898,1.583,1.5857,0.0
20000412000000,1.5858,1.589,1.582,1.5884,0.0
20000413000000,1.5881,1.5932,1.5846,1.5864,0.0
20000414000000,1.5867,1.5918,1.5823,1.5882,0.0
20000417000000,1.5888,1.5913,1.5794,1.5802,0.0
20000418000000,1.5804,1.5849,1.5742,1.5772,0.0
20000419000000,1.5767,1.5837,1.5748,1.5819,0.0
20000420000000,1.5817,1.5829,1.5774,1.5797,0.0
20000421000000,1.5794,1.5822,1.5765,1.5775,0.0
20000424000000,1.576,1.5825,1.575,1.5795,0.0
20000425000000,1.5798,1.5828,1.5728,1.5814,0.0
20000426000000,1.5812,1.5824,1.5745,1.5755,0.0
20000427000000,1.5765,1.5813,1.5708,1.5721,0.0
20000428000000,1.5725,1.5741,1.55,1.552,0.0
20000501000000,1.552,1.5581,1.5514,1.5539,0.0
20000502000000,1.5535,1.5673,1.5522,1.5605,0.0
20000503000000,1.5607,1.5653,1.5556,1.5617,0.0
20000504000000,1.5611,1.563,1.5352,1.5421,0.0
20000505000000,1.5419,1.5442,1.5245,1.5286,0.0
20000508000000,1.5284,1.5361,1.5259,1.533,0.0
20000509000000,1.5331,1.5371,1.5283,1.531,0.0
20000510000000,1.5314,1.5334,1.5067,1.5125,0.0
20000511000000,1.5098,1.5122,1.4927,1.5044,0.0
20000512000000,1.5039,1.5202,1.5018,1.5174,0.0
20000515000000,1.5221,1.523,1.5045,1.5058,0.0
20000516000000,1.5041,1.5065,1.4915,1.4944,0.0
20000517000000,1.4935,1.4987,1.4874,1.4964,0.0
20000518000000,1.4956,1.4963,1.4762,1.4842,0.0
20000519000000,1.4829,1.4902,1.4741,1.4874,0.0
20000522000000,1.4856,1.4969,1.4825,1.4915,0.0
20000523000000,1.491,1.4931,1.4724,1.4771,0.0
20000524000000,1.4764,1.4796,1.4677,1.474,0.0
20000525000000,1.4732,1.4804,1.4662,1.4708,0.0
20000526000000,1.4703,1.4923,1.4697,1.4899,0.0
20000529000000,1.4885,1.493,1.4856,1.4927,0.0
20000530000000,1.4927,1.5044,1.4901,1.4977,0.0
20000531000000,1.496,1.5019,1.4925,1.5014,0.0
20000601000000,1.5002,1.502,1.4892,1.4949,0.0
20000602000000,1.4951,1.5134,1.4938,1.5103,0.0
20000605000000,1.5079,1.5204,1.507,1.5193,0.0
20000606000000,1.518,1.5318,1.5108,1.5286,0.0
20000607000000,1.5279,1.5295,1.5182,1.5225,0.0
20000608000000,1.5217,1.5229,1.5054,1.5103,0.0
20000609000000,1.5095,1.5137,1.5,1.5085,0.0
20000612000000,1.509,1.5147,1.5034,1.5135,0.0
20000613000000,1.513,1.5183,1.5058,1.5062,0.0
20000614000000,1.5059,1.5112,1.4978,1.499,0.0
20000615000000,1.4985,1.5143,1.4956,1.5114,0.0
20000616000000,1.5109,1.5176,1.509,1.5157,0.0
20000619000000,1.5136,1.5172,1.5105,1.5115,0.0
20000620000000,1.5113,1.5205,1.5045,1.518,0.0
20000621000000,1.5185,1.5189,1.4937,1.4986,0.0
20000622000000,1.4989,1.5161,1.4967,1.5128,0.0
20000623000000,1.5119,1.5135,1.498,1.5006,0.0
20000626000000,1.501,1.5041,1.496,1.4975,0.0
20000627000000,1.4965,1.5069,1.4932,1.5065,0.0
20000628000000,1.5065,1.5147,1.5024,1.5133,0.0
20000629000000,1.5125,1.5211,1.5108,1.5185,0.0
20000630000000,1.5178,1.5212,1.5097,1.5172,0.0
20000703000000,1.5155,1.5187,1.509,1.5137,0.0
20000704000000,1.5136,1.5163,1.511,1.5152,0.0
20000705000000,1.5143,1.5178,1.5068,1.5079,0.0
20000706000000,1.5068,1.5154,1.506,1.5074,0.0
20000707000000,1.5075,1.5174,1.5035,1.5138,0.0
20000710000000,1.5126,1.5196,1.5099,1.5135,0.0
20000711000000,1.5135,1.5177,1.5107,1.5173,0.0
20000712000000,1.5166,1.5182,1.505,1.5064,0.0
20000713000000,1.5062,1.5071,1.4978,1.5036,0.0
