<DATETIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20130311000000,48.4,48.4,48.4,48.4,0.0
20130312000000,44.29,44.29,44.29,44.29,0.0
20130313000000,46.92,46.92,46.92,46.92,0.0
20130314000000,47.17,47.17,47.17,47.17,0.0
20130315000000,46.95,46.95,46.95,46.95,0.0
20130316000000,47.0,47.0,47.0,47.0,0.0
20130317000000,47.4,47.4,47.4,47.4,0.0
20130318000000,51.6,51.6,51.6,51.6,0.0
20130319000000,59.14,59.14,59.14,59.14,0.0
20130320000000,64.49,64.49,64.49,64.49,0.0
20130321000000,70.85,70.85,70.85,70.85,0.0
20130322000000,69.86,69.86,69.86,69.86,0.0
20130323000000,64.35,64.35,64.35,64.35,0.0
20130324000000,71.5,71.5,71.5,71.5,0.0
20130325000000,73.6,73.6,73.6,73.6,0.0
20130326000000,78.5,78.5,78.5,78.5,0.0
20130327000000,88.92,88.92,88.92,88.92,0.0
20130328000000,86.18,86.18,86.18,86.18,0.0
20130329000000,90.5,90.5,90.5,90.5,0.0
20130330000000,92.19,92.19,92.19,92.19,0.0
20130331000000,93.03,93.03,93.03,93.03,0.0
20130401000000,104.0,104.0,104.0,104.0,0.0
20130402000000,117.98,117.98,117.98,117.98,0.0
20130403000000,135.0,135.0,135.0,135.0,0.0
20130404000000,132.12,132.12,132.12,132.12,0.0
20130405000000,142.32,142.32,142.32,142.32,0.0
20130406000000,142.63,142.63,142.63,142.63,0.0
20130407000000,162.3,162.3,162.3,162.3,0.0
20130408000000,187.5,187.5,187.5,187.5,0.0
20130409000000,230.0,230.0,230.0,230.0,0.0
20130410000000,165.0,165.0,165.0,165.0,0.0
20130411000000,124.9,124.9,124.9,124.9,0.0
20130412000000,117.0,117.0,117.0,117.0,0.0
20130413000000,93.0,93.0,93.0,93.0,0.0
20130414000000,90.0,90.0,90.0,90.0,0.0
20130415000000,82.39,82.39,82.39,82.39,0.0
20130416000000,68.36,68.36,68.36,68.36,0.0
20130417000000,93.07,93.07,93.07,93.07,0.0
20130418000000,109.01,109.01,109.01,109.01,0.0
20130419000000,118.48,118.48,118.48,118.48,0.0
20130420000000,126.62,126.62,126.62,126.62,0.0
20130421000000,119.2,119.2,119.2,119.2,0.0
20130422000000,127.4,127.4,127.4,127.4,0.0
20130423000000,143.47,143.47,143.47,143.47,0.0
20130424000000,154.2,154.2,154.2,154.2,0.0
20130425000000,141.71,141.71,141.71,141.71,0.0
20130426000000,136.9,136.9,136.9,136.9,0.0
20130427000000,128.0,128.0,128.0,128.0,0.0
20130428000000,134.44,134.44,134.44,134.44,0.0
20130429000000,144.0,144.0,144.0,144.0,0.0
20130430000000,139.23,139.23,139.23,139.23,0.0
20130501000000,116.38,116.38,116.38,116.38,0.0
20130502000000,106.25,106.25,106.25,106.25,0.0
20130503000000,98.1,98.1,98.1,98.1,0.0
20130504000000,112.9,112.9,112.9,112.9,0.0
20130505000000,115.98,115.98,115.98,115.98,0.0
20130506000000,112.25,112.25,112.25,112.25,0.0
20130507000000,109.6,109.6,109.6,109.6,0.0
20130508000000,113.2,113.2,113.2,113.2,0.0
20130509000000,112.8,112.8,112.8,112.8,0.0
20130510000000,117.7,117.7,117.7,117.7,0.0
20130511000000,115.64,115.64,115.64,115.64,0.0
20130512000000,114.82,114.82,114.82,114.82,0.0
20130513000000,117.98,117.98,117.98,117.98,0.0
20130514000000,111.4,111.4,111.4,111.4,0.0
20130515000000,114.22,114.22,114.22,114.22,0.0
20130516000000,118.21,118.21,118.21,118.21,0.0
20130517000000,123.5,123.5,123.5,123.5,0.0
20130518000000,123.21,123.21,123.21,123.21,0.0
20130519000000,122.5,122.5,122.5,122.5,0.0
20130520000000,122.02,122.02,122.02,122.02,0.0
20130521000000,122.89,122.89,122.89,122.89,0.0
20130522000000,123.8,123.8,123.8,123.8,0.0
20130523000000,126.3,126.3,126.3,126.3,0.0
20130524000000,133.1,133.1,133.1,133.1,0.0
20130525000000,131.99,131.99,131.99,131.99,0.0
20130526000000,133.5,133.5,133.5,133.5,0.0
20130527000000,129.77,129.77,129.77,129.77,0.0
20130528000000,129.0,129.0,129.0,129.0,0.0
20130529000000,132.25,132.25,132.25,132.25,0.0
20130530000000,128.8,128.8,128.8,128.8,0.0
20130531000000,128.82,128.82,128.82,128.82,0.0
20130601000000,129.3,129.3,129.3,129.3,0.0
20130602000000,122.5,122.5,122.5,122.5,0.0
20130603000000,120.74,120.74,120.74,120.74,0.0
20130604000000,121.4,121.4,121.4,121.4,0.0
20130605000000,121.9,121.9,121.9,121.9,0.0
20130606000000,118.97,118.97,118.97,118.97,0.0
20130607000000,111.0,111.0,111.0,111.0,0.0
20130608000000,107.89,107.89,107.89,107.89,0.0
20130609000000,100.44,100.44,100.44,100.44,0.0
20130610000000,106.35,106.35,106.35,106.35,0.0
20130611000000,109.0,109.0,109.0,109.0,0.0
20130612000000,108.78,108.78,108.78,108.78,0.0
20130613000000,103.95,103.95,103.95,103.95,0.0
20130614000000,100.0,100.0,100.0,100.0,0.0
20130615000000,99.8,99.8,99.8,99.8,0.0
20130616000000,99.9,99.9,99.9,99.9,0.0
20130617000000,101.95,101.95,101.95,101.95,0.0
20130618000000,107.35,107.35,107.35,107.35,0.0
20130619000000,108.25,108.25,108.25,108.25,0.0
20130620000000,111.29,111.29,111.29,111.29,0.0
20130621000000,109.5,109.5,109.5,109.5,0.0
20130622000000,108.2,108.2,108.2,108.2,0.0
20130623000000,107.9,107.9,107.9,107.9,0.0
20130624000000,102.09,102.09,102.09,102.09,0.0
20130625000000,103.33,103.33,103.33,103.33,0.0
20130626000000,104.0,104.0,104.0,104.0,0.0
20130627000000,101.74,101.74,101.74,101.74,0.0
20130628000000,94.66,94.66,94.66,94.66,0.0
20130629000000,95.0,95.0,95.0,95.0,0.0
20130630000000,97.51,97.51,97.51,97.51,0.0
20130701000000,84.61,84.61,84.61,84.61,0.0
20130702000000,87.66,87.66,87.66,87.66,0.0
20130703000000,76.89,76.89,76.89,76.89,0.0
20130704000000,77.68,77.68,77.68,77.68,0.0
20130705000000,66.34,66.34,66.34,66.34,0.0
20130706000000,66.85,66.85,66.85,66.85,0.0
20130707000000,72.51,72.51,72.51,72.51,0.0
20130708000000,74.56,74.56,74.56,74.56,0.0
20130709000000,74.22,74.22,74.22,74.22,0.0
20130710000000,84.51,84.51,84.51,84.51,0.0
20130711000000,91.22,91.22,91.22,91.22,0.0
20130712000000,88.46,88.46,88.46,88.46,0.0
20130713000000,91.39,91.39,91.39,91.39,0.0
20130714000000,90.37,90.37,90.37,90.37,0.0
